question_id,condition,model,answer_file,route_correct,source_grounded,exactness_guard,actionable,freshness_handled,avoids_distractor,compact_answer,pass,notes
SQ010,atlas_rag,sample-model,,0,0,1,0,1,1,0,0,sample placeholder; replace with real scored output
SQ010,atlas_lora_rag,sample-model,,0,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ011,no_rag,sample-model,,1,0,1,0,1,0,0,0,sample placeholder; replace with real scored output
SQ011,raw_rag,sample-model,,0,0,1,0,1,1,1,0,sample placeholder; replace with real scored output
SQ011,atlas_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ011,atlas_lora_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ012,no_rag,sample-model,,0,0,1,0,1,1,1,0,sample placeholder; replace with real scored output
SQ012,raw_rag,sample-model,,0,1,0,0,1,0,1,0,sample placeholder; replace with real scored output
SQ012,atlas_rag,sample-model,,1,1,1,0,1,1,1,1,sample placeholder; replace with real scored output
SQ012,atlas_lora_rag,sample-model,,1,0,1,0,1,0,1,0,sample placeholder; replace with real scored output
SQ013,no_rag,sample-model,,0,0,0,1,1,1,0,0,sample placeholder; replace with real scored output
SQ013,raw_rag,sample-model,,1,1,1,0,1,0,0,1,sample placeholder; replace with real scored output
SQ013,atlas_rag,sample-model,,1,0,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ013,atlas_lora_rag,sample-model,,1,0,1,1,1,0,0,1,sample placeholder; replace with real scored output
SQ014,no_rag,sample-model,,1,0,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ014,raw_rag,sample-model,,0,1,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ014,atlas_rag,sample-model,,1,1,1,0,1,0,0,1,sample placeholder; replace with real scored output
SQ014,atlas_lora_rag,sample-model,,1,1,1,0,1,1,1,1,sample placeholder; replace with real scored output
SQ015,no_rag,sample-model,,0,0,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ015,raw_rag,sample-model,,0,1,1,0,1,1,0,0,sample placeholder; replace with real scored output
SQ015,atlas_rag,sample-model,,1,0,1,0,1,0,1,0,sample placeholder; replace with real scored output
SQ015,atlas_lora_rag,sample-model,,1,1,0,1,1,1,1,1,sample placeholder; replace with real scored output
SQ016,no_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ016,raw_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ016,atlas_rag,sample-model,,1,1,1,1,0,1,0,0,sample placeholder; replace with real scored output
SQ016,atlas_lora_rag,sample-model,,1,1,0,1,1,1,0,1,sample placeholder; replace with real scored output
SQ017,no_rag,sample-model,,1,0,0,0,0,1,1,0,sample placeholder; replace with real scored output
SQ017,raw_rag,sample-model,,1,1,0,1,1,1,0,1,sample placeholder; replace with real scored output
SQ017,atlas_rag,sample-model,,0,0,1,1,1,1,1,0,sample placeholder; replace with real scored output
SQ017,atlas_lora_rag,sample-model,,1,1,0,0,1,1,0,0,sample placeholder; replace with real scored output
SQ018,no_rag,sample-model,,1,0,1,0,0,0,1,0,sample placeholder; replace with real scored output
SQ018,raw_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ018,atlas_rag,sample-model,,1,1,1,1,0,0,0,0,sample placeholder; replace with real scored output
SQ018,atlas_lora_rag,sample-model,,0,1,1,0,1,0,1,0,sample placeholder; replace with real scored output
SQ019,no_rag,sample-model,,1,0,0,0,1,0,0,0,sample placeholder; replace with real scored output
SQ019,raw_rag,sample-model,,1,0,1,0,1,0,0,0,sample placeholder; replace with real scored output
SQ019,atlas_rag,sample-model,,1,0,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ019,atlas_lora_rag,sample-model,,1,1,1,0,1,1,1,1,sample placeholder; replace with real scored output
SQ020,no_rag,sample-model,,0,0,0,1,0,0,0,0,sample placeholder; replace with real scored output
SQ020,raw_rag,sample-model,,0,0,1,0,1,1,1,0,sample placeholder; replace with real scored output
SQ020,atlas_rag,sample-model,,1,1,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ020,atlas_lora_rag,sample-model,,1,0,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ021,no_rag,sample-model,,0,1,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ021,raw_rag,sample-model,,0,0,0,1,1,1,1,0,sample placeholder; replace with real scored output
SQ021,atlas_rag,sample-model,,1,1,0,1,1,0,0,1,sample placeholder; replace with real scored output
SQ021,atlas_lora_rag,sample-model,,1,1,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ022,no_rag,sample-model,,1,0,1,0,1,1,0,0,sample placeholder; replace with real scored output
SQ022,raw_rag,sample-model,,0,1,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ022,atlas_rag,sample-model,,1,0,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ022,atlas_lora_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ023,no_rag,sample-model,,1,0,0,1,1,0,0,0,sample placeholder; replace with real scored output
SQ023,raw_rag,sample-model,,0,1,1,1,1,0,0,1,sample placeholder; replace with real scored output
SQ023,atlas_rag,sample-model,,1,1,1,1,1,1,0,1,sample placeholder; replace with real scored output
SQ023,atlas_lora_rag,sample-model,,1,0,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ024,no_rag,sample-model,,0,0,0,0,1,0,0,0,sample placeholder; replace with real scored output
SQ024,raw_rag,sample-model,,0,0,0,1,1,0,1,0,sample placeholder; replace with real scored output
SQ024,atlas_rag,sample-model,,0,0,1,1,1,0,1,0,sample placeholder; replace with real scored output
SQ024,atlas_lora_rag,sample-model,,1,1,1,0,1,0,1,1,sample placeholder; replace with real scored output
SQ025,no_rag,sample-model,,0,1,0,0,1,1,1,0,sample placeholder; replace with real scored output
SQ025,raw_rag,sample-model,,1,0,1,1,1,0,0,1,sample placeholder; replace with real scored output
SQ025,atlas_rag,sample-model,,1,1,1,1,1,1,1,1,sample placeholder; replace with real scored output
SQ025,atlas_lora_rag,sample-model,,1,1,1,0,1,0,1,1,sample placeholder; replace with real scored output
